part_oem_number,part_manufacturer,cross_ref_oem_number,cross_ref_manufacturer,cross_ref_type,notes
CPS0009987,Delphi,OE0054415,Original,oem,Original equipment reference
CPS0009987,Delphi,ABS0007742,Bosch,oem,Cross-reference for sensors
CPS0009987,Delphi,OE0054416,Delphi,oem,Original equipment reference
CPS0009987,Delphi,CKPS0003892,Bosch,equivalent,Cross-reference for sensors
CPS0009987,Delphi,OE0054417,Original,oem,Original equipment reference
ABS0009995,Delphi,CKPS0002583,Hella,replacement,Cross-reference for sensors
ABS0009995,Delphi,OE0054418,Original,oem,Original equipment reference
ABS0009995,Delphi,CKPS0007870,Bosch,oem,Cross-reference for sensors
ABS0009995,Delphi,OE0054419,Original,oem,Original equipment reference
ABS0010114,Delphi,CKPS0004617,Hella,replacement,Cross-reference for sensors
ABS0010114,Delphi,OE0054420,Original,oem,Original equipment reference
ABS0010114,Delphi,CPS0008593,Bosch,oem,Cross-reference for sensors
ABS0010114,Delphi,OE0054421,Delphi,oem,Original equipment reference
CPS0010127,Delphi,CPS0004703,Bosch,compatible,Cross-reference for sensors
CPS0010127,Delphi,OE0054422,Original,oem,Original equipment reference
CPS0010127,Delphi,CKPS0010010,Hella,oem,Cross-reference for sensors
CPS0010127,Delphi,OE0054423,Original,oem,Original equipment reference
CKPS0010139,Delphi,ABS0002375,Bosch,replacement,Cross-reference for sensors
CKPS0010139,Delphi,OE0054424,Delphi,oem,Original equipment reference
CPS0010185,Hella,ABS0002375,Bosch,oem,Cross-reference for sensors
CPS0010185,Hella,OE0054425,Original,oem,Original equipment reference
ABS0010202,Bosch,CKPS0005407,Delphi,replacement,Cross-reference for sensors
ABS0010202,Bosch,OE0054426,Original,oem,Original equipment reference
ABS0010202,Bosch,CKPS0006123,Delphi,replacement,Cross-reference for sensors
ABS0010202,Bosch,OE0054427,Bosch,oem,Original equipment reference
ABS0010208,Hella,CPS0008720,Delphi,oem,Cross-reference for sensors
ABS0010208,Hella,OE0054428,Hella,oem,Original equipment reference
ABS0010208,Hella,CPS0006122,Bosch,oem,Cross-reference for sensors
ABS0010208,Hella,OE0054429,Original,oem,Original equipment reference
CPS0010253,Hella,ABS0002441,TRW,oem,Cross-reference for sensors
CPS0010253,Hella,OE0054430,Original,oem,Original equipment reference
CKPS0010254,Delphi,CPS0001664,Hella,equivalent,Cross-reference for sensors
CKPS0010254,Delphi,OE0054431,Delphi,oem,Original equipment reference
CKPS0010254,Delphi,CKPS0005273,Bosch,compatible,Cross-reference for sensors
CKPS0010254,Delphi,OE0054432,Delphi,oem,Original equipment reference
ABS0010287,Delphi,CPS0011339,Hella,compatible,Cross-reference for sensors
ABS0010287,Delphi,OE0054433,Original,oem,Original equipment reference
ABS0010305,Hella,ABS0009638,Delphi,equivalent,Cross-reference for sensors
ABS0010305,Hella,OE0054434,Original,oem,Original equipment reference
CPS0010393,Bosch,CPS0010225,Hella,oem,Cross-reference for sensors
CPS0010393,Bosch,OE0054435,Bosch,oem,Original equipment reference
CPS0010455,Hella,CKPS0008926,Delphi,equivalent,Cross-reference for sensors
CPS0010455,Hella,OE0054436,Original,oem,Original equipment reference
CPS0010455,Hella,CPS0004894,Delphi,compatible,Cross-reference for sensors
CPS0010455,Hella,OE0054437,Original,oem,Original equipment reference
ABS0010473,Bosch,CKPS0003375,Hella,replacement,Cross-reference for sensors
ABS0010473,Bosch,OE0054438,Original,oem,Original equipment reference
CKPS0010480,Hella,CKPS0009444,Delphi,oem,Cross-reference for sensors
CKPS0010480,Hella,OE0054439,Original,oem,Original equipment reference
CKPS0010480,Hella,ABS0001854,Delphi,compatible,Cross-reference for sensors
CKPS0010480,Hella,OE0054440,Original,oem,Original equipment reference
CKPS0010493,Bosch,ABS0006141,TRW,replacement,Cross-reference for sensors
CKPS0010493,Bosch,OE0054441,Bosch,oem,Original equipment reference
CKPS0010494,Hella,ABS0009137,TRW,equivalent,Cross-reference for sensors
CKPS0010494,Hella,OE0054442,Original,oem,Original equipment reference
CKPS0010494,Hella,ABS0003397,Delphi,compatible,Cross-reference for sensors
CKPS0010494,Hella,OE0054443,Hella,oem,Original equipment reference
CKPS0010497,Hella,ABS0002156,Bosch,replacement,Cross-reference for sensors
CKPS0010497,Hella,OE0054444,Original,oem,Original equipment reference
CPS0010523,Bosch,ABS0008335,Hella,equivalent,Cross-reference for sensors
CPS0010523,Bosch,OE0054445,Original,oem,Original equipment reference
CPS0010534,Delphi,ABS0006128,Hella,compatible,Cross-reference for sensors
CPS0010534,Delphi,OE0054446,Delphi,oem,Original equipment reference
CPS0010534,Delphi,CKPS0002250,Hella,oem,Cross-reference for sensors
CPS0010534,Delphi,OE0054447,Delphi,oem,Original equipment reference
CKPS0010546,Hella,CPS0010393,Bosch,oem,Cross-reference for sensors
CKPS0010546,Hella,OE0054448,Original,oem,Original equipment reference
CKPS0010546,Hella,ABS0002036,TRW,equivalent,Cross-reference for sensors
CKPS0010546,Hella,OE0054449,Original,oem,Original equipment reference
CPS0010556,Delphi,CKPS0009449,Bosch,replacement,Cross-reference for sensors
CPS0010556,Delphi,OE0054450,Original,oem,Original equipment reference
CKPS0010560,Bosch,CPS0005242,Delphi,oem,Cross-reference for sensors
CKPS0010560,Bosch,OE0054451,Original,oem,Original equipment reference
ABS0010580,Delphi,ABS0011333,Hella,oem,Cross-reference for sensors
ABS0010580,Delphi,OE0054452,Original,oem,Original equipment reference
CPS0010587,Bosch,CPS0005401,Delphi,oem,Cross-reference for sensors
CPS0010587,Bosch,OE0054453,Bosch,oem,Original equipment reference
CPS0010587,Bosch,95517,Delphi,replacement,Cross-reference for sensors
CPS0010587,Bosch,OE0054454,Original,oem,Original equipment reference
CKPS0010598,Hella,CKPS0008368,Delphi,equivalent,Cross-reference for sensors
CKPS0010598,Hella,OE0054455,Hella,oem,Original equipment reference
CKPS0010598,Hella,CKPS0001977,Bosch,replacement,Cross-reference for sensors
CKPS0010598,Hella,OE0054456,Hella,oem,Original equipment reference
CPS0010634,Delphi,CPS0009883,Bosch,oem,Cross-reference for sensors
CPS0010634,Delphi,OE0054457,Original,oem,Original equipment reference
CPS0010634,Delphi,CPS0011084,Hella,equivalent,Cross-reference for sensors
CPS0010634,Delphi,OE0054458,Original,oem,Original equipment reference
CKPS0010640,Delphi,CPS0005290,Bosch,equivalent,Cross-reference for sensors
CKPS0010640,Delphi,OE0054459,Delphi,oem,Original equipment reference
CKPS0010681,Hella,CKPS0002585,Bosch,replacement,Cross-reference for sensors
CKPS0010681,Hella,OE0054460,Hella,oem,Original equipment reference
ABS0010707,Hella,CPS0001660,Delphi,oem,Cross-reference for sensors
ABS0010707,Hella,OE0054461,Hella,oem,Original equipment reference
ABS0010707,Hella,CKPS0006012,Bosch,oem,Cross-reference for sensors
ABS0010707,Hella,OE0054462,Original,oem,Original equipment reference
CKPS0010781,Hella,ABS0006352,Bosch,equivalent,Cross-reference for sensors
CKPS0010781,Hella,OE0054463,Original,oem,Original equipment reference
CKPS0010781,Hella,CKPS0011056,Bosch,equivalent,Cross-reference for sensors
CKPS0010781,Hella,OE0054464,Hella,oem,Original equipment reference
ABS0010804,TRW,ABS0007875,Hella,replacement,Cross-reference for sensors
ABS0010804,TRW,OE0054465,Original,oem,Original equipment reference
ABS0010804,TRW,ABS0004263,Delphi,compatible,Cross-reference for sensors
ABS0010804,TRW,OE0054466,Original,oem,Original equipment reference
ABS0010804,TRW,CPS0003413,Delphi,compatible,Cross-reference for sensors
ABS0010804,TRW,OE0054467,TRW,oem,Original equipment reference
ABS0010846,Hella,ABS0007290,Bosch,compatible,Cross-reference for sensors
ABS0010846,Hella,OE0054468,Hella,oem,Original equipment reference
CKPS0010857,Delphi,CKPS0006449,Hella,replacement,Cross-reference for sensors
CKPS0010857,Delphi,OE0054469,Delphi,oem,Original equipment reference
CKPS0010857,Delphi,ABS0003737,Bosch,compatible,Cross-reference for sensors
CKPS0010857,Delphi,OE0054470,Delphi,oem,Original equipment reference
CPS0010858,Hella,ABS0006196,Delphi,oem,Cross-reference for sensors
CPS0010858,Hella,OE0054471,Original,oem,Original equipment reference
CPS0010858,Hella,CKPS0007743,Bosch,equivalent,Cross-reference for sensors
CPS0010858,Hella,OE0054472,Original,oem,Original equipment reference
CPS0010919,Bosch,CPS0004277,Hella,replacement,Cross-reference for sensors
CPS0010919,Bosch,OE0054473,Original,oem,Original equipment reference
CKPS0010928,Bosch,CKPS0003615,Hella,compatible,Cross-reference for sensors
CKPS0010928,Bosch,OE0054474,Bosch,oem,Original equipment reference
CKPS0010928,Bosch,CPS0006325,Delphi,compatible,Cross-reference for sensors
CKPS0010928,Bosch,OE0054475,Bosch,oem,Original equipment reference
CKPS0010950,Hella,CKPS0002728,Delphi,compatible,Cross-reference for sensors
CKPS0010950,Hella,OE0054476,Hella,oem,Original equipment reference
CPS0010966,Hella,ABS0007553,Bosch,replacement,Cross-reference for sensors
CPS0010966,Hella,OE0054477,Original,oem,Original equipment reference
ABS0010988,Bosch,CKPS0005879,Delphi,compatible,Cross-reference for sensors
ABS0010988,Bosch,OE0054478,Original,oem,Original equipment reference
ABS0010988,Bosch,ABS0007364,TRW,compatible,Cross-reference for sensors
ABS0010988,Bosch,OE0054479,Original,oem,Original equipment reference
CKPS0011071,Hella,ABS0004969,Bosch,compatible,Cross-reference for sensors
CKPS0011071,Hella,OE0054480,Original,oem,Original equipment reference
CKPS0011071,Hella,ABS0001891,TRW,equivalent,Cross-reference for sensors
CKPS0011071,Hella,OE0054481,Hella,oem,Original equipment reference
CPS0011084,Hella,ABS0009568,Bosch,equivalent,Cross-reference for sensors
CPS0011084,Hella,OE0054482,Hella,oem,Original equipment reference
CKPS0011112,Delphi,CPS0005733,Hella,compatible,Cross-reference for sensors
CKPS0011112,Delphi,OE0054483,Delphi,oem,Original equipment reference
ABS0011214,Delphi,CKPS0006010,Bosch,equivalent,Cross-reference for sensors
ABS0011214,Delphi,OE0054484,Original,oem,Original equipment reference
CKPS0011243,Bosch,CPS0010534,Delphi,equivalent,Cross-reference for sensors
CKPS0011243,Bosch,OE0054485,Bosch,oem,Original equipment reference
CKPS0011243,Bosch,CPS0006958,Delphi,compatible,Cross-reference for sensors
CKPS0011243,Bosch,OE0054486,Bosch,oem,Original equipment reference
CKPS0011243,Bosch,CKPS0007495,Hella,oem,Cross-reference for sensors
CKPS0011243,Bosch,OE0054487,Bosch,oem,Original equipment reference
CKPS0011292,Bosch,CPS0007450,Hella,replacement,Cross-reference for sensors
CKPS0011292,Bosch,OE0054488,Bosch,oem,Original equipment reference
CKPS0011292,Bosch,CPS0005301,Delphi,equivalent,Cross-reference for sensors
CKPS0011292,Bosch,OE0054489,Original,oem,Original equipment reference
CKPS0011292,Bosch,CPS0006612,Hella,replacement,Cross-reference for sensors
CKPS0011292,Bosch,OE0054490,Bosch,oem,Original equipment reference
CKPS0011313,Bosch,CKPS0004608,Hella,equivalent,Cross-reference for sensors
CKPS0011313,Bosch,OE0054491,Original,oem,Original equipment reference
ABS0011333,Hella,CPS0005401,Delphi,equivalent,Cross-reference for sensors
ABS0011333,Hella,OE0054492,Hella,oem,Original equipment reference
CPS0011353,Hella,ABS0004443,Bosch,oem,Cross-reference for sensors
CPS0011353,Hella,OE0054493,Hella,oem,Original equipment reference
CPS0011354,Hella,CPS0010587,Bosch,equivalent,Cross-reference for sensors
CPS0011354,Hella,OE0054494,Hella,oem,Original equipment reference
CPS0011354,Hella,CPS0008593,Bosch,oem,Cross-reference for sensors
CPS0011354,Hella,OE0054495,Hella,oem,Original equipment reference
CPS0011354,Hella,CPS0008720,Delphi,compatible,Cross-reference for sensors
CPS0011354,Hella,OE0054496,Hella,oem,Original equipment reference
ABS0011361,Hella,0261230482,Bosch,compatible,Cross-reference for sensors
ABS0011361,Hella,OE0054497,Hella,oem,Original equipment reference
0281006405,Bosch,LS0004712,Delphi,oem,Cross-reference for lambda sensors
0281006405,Bosch,OE0054498,Original,oem,Original equipment reference
0281006405,Bosch,LS0005616,Denso,compatible,Cross-reference for lambda sensors
0281006405,Bosch,OE0054499,Original,oem,Original equipment reference
0281006405,Bosch,LS0007284,Delphi,replacement,Cross-reference for lambda sensors
0281006405,Bosch,OE0054500,Original,oem,Original equipment reference
LS0001483,Bosch,LS0008627,Denso,oem,Cross-reference for lambda sensors
LS0001483,Bosch,OE0054501,Original,oem,Original equipment reference
LS0001484,Bosch,LS0005066,Delphi,compatible,Cross-reference for lambda sensors
LS0001484,Bosch,OE0054502,Bosch,oem,Original equipment reference
LS0001484,Bosch,LS0009236,Denso,compatible,Cross-reference for lambda sensors
LS0001484,Bosch,OE0054503,Original,oem,Original equipment reference
LS0001485,Bosch,LS0006425,Delphi,compatible,Cross-reference for lambda sensors
LS0001485,Bosch,OE0054504,Bosch,oem,Original equipment reference
LS0001486,Denso,LS0003078,Delphi,replacement,Cross-reference for lambda sensors
LS0001486,Denso,OE0054505,Denso,oem,Original equipment reference
LS0001487,Denso,LS0003406,NGK,compatible,Cross-reference for lambda sensors
LS0001487,Denso,OE0054506,Denso,oem,Original equipment reference
LS0001487,Denso,LS0004189,NGK,oem,Cross-reference for lambda sensors
LS0001487,Denso,OE0054507,Denso,oem,Original equipment reference
LS0001487,Denso,LS0006170,Bosch,equivalent,Cross-reference for lambda sensors
LS0001487,Denso,OE0054508,Original,oem,Original equipment reference
LS0001488,Denso,LS0010299,Delphi,oem,Cross-reference for lambda sensors
LS0001488,Denso,OE0054509,Denso,oem,Original equipment reference
LS0001488,Denso,LS0011096,Delphi,equivalent,Cross-reference for lambda sensors
LS0001488,Denso,OE0054510,Original,oem,Original equipment reference
LS0001490,Denso,LS0010663,Delphi,compatible,Cross-reference for lambda sensors
LS0001490,Denso,OE0054511,Original,oem,Original equipment reference
LS0001492,NGK,LS0007157,Delphi,compatible,Cross-reference for lambda sensors
LS0001492,NGK,OE0054512,NGK,oem,Original equipment reference
LS0001492,NGK,LS0004653,Delphi,equivalent,Cross-reference for lambda sensors
LS0001492,NGK,OE0054513,NGK,oem,Original equipment reference
LS0001494,NGK,LS0005254,Delphi,compatible,Cross-reference for lambda sensors
LS0001494,NGK,OE0054514,Original,oem,Original equipment reference
LS0001497,Delphi,LS0001490,Denso,compatible,Cross-reference for lambda sensors
LS0001497,Delphi,OE0054515,Original,oem,Original equipment reference
LS0001498,Delphi,LS0001485,Bosch,equivalent,Cross-reference for lambda sensors
LS0001498,Delphi,OE0054516,Delphi,oem,Original equipment reference
LS0001498,Delphi,LS0010834,Bosch,replacement,Cross-reference for lambda sensors
LS0001498,Delphi,OE0054517,Original,oem,Original equipment reference
LS0001906,NGK,LS0001483,Bosch,compatible,Cross-reference for lambda sensors
LS0001906,NGK,OE0054518,Original,oem,Original equipment reference
LS0001906,NGK,LS0007837,Denso,oem,Cross-reference for lambda sensors
LS0001906,NGK,OE0054519,NGK,oem,Original equipment reference
LS0002094,Denso,LS0002733,NGK,replacement,Cross-reference for lambda sensors
LS0002094,Denso,OE0054520,Denso,oem,Original equipment reference
LS0002125,NGK,LS0010459,Denso,compatible,Cross-reference for lambda sensors
LS0002125,NGK,OE0054521,Original,oem,Original equipment reference
LS0002125,NGK,LS0001485,Bosch,replacement,Cross-reference for lambda sensors
LS0002125,NGK,OE0054522,NGK,oem,Original equipment reference
LS0002185,NGK,LS0010830,Denso,compatible,Cross-reference for lambda sensors
LS0002185,NGK,OE0054523,NGK,oem,Original equipment reference
LS0002229,Denso,LS0006170,Bosch,replacement,Cross-reference for lambda sensors
LS0002229,Denso,OE0054524,Denso,oem,Original equipment reference
LS0002229,Denso,LS0006838,Delphi,replacement,Cross-reference for lambda sensors
LS0002229,Denso,OE0054525,Original,oem,Original equipment reference
LS0002243,Bosch,LS0005019,Delphi,compatible,Cross-reference for lambda sensors
LS0002243,Bosch,OE0054526,Bosch,oem,Original equipment reference
LS0002252,Delphi,LS0007965,NGK,equivalent,Cross-reference for lambda sensors
LS0002252,Delphi,OE0054527,Original,oem,Original equipment reference
LS0002252,Delphi,LS0001491,NGK,replacement,Cross-reference for lambda sensors
LS0002252,Delphi,OE0054528,Delphi,oem,Original equipment reference
LS0002252,Delphi,LS0006785,NGK,oem,Cross-reference for lambda sensors
LS0002252,Delphi,OE0054529,Original,oem,Original equipment reference
LS0002448,Bosch,LS0004509,Delphi,equivalent,Cross-reference for lambda sensors
LS0002448,Bosch,OE0054530,Bosch,oem,Original equipment reference
LS0002598,Bosch,LS0001491,NGK,oem,Cross-reference for lambda sensors
LS0002598,Bosch,OE0054531,Original,oem,Original equipment reference
LS0002598,Bosch,LS0001490,Denso,oem,Cross-reference for lambda sensors
LS0002598,Bosch,OE0054532,Original,oem,Original equipment reference
LS0002609,Delphi,LS0001486,Denso,replacement,Cross-reference for lambda sensors
LS0002609,Delphi,OE0054533,Original,oem,Original equipment reference
LS0002704,Denso,LS0006623,NGK,compatible,Cross-reference for lambda sensors
LS0002704,Denso,OE0054534,Original,oem,Original equipment reference
LS0002704,Denso,LS0004134,Delphi,replacement,Cross-reference for lambda sensors
LS0002704,Denso,OE0054535,Original,oem,Original equipment reference
LS0002704,Denso,LS0005125,Bosch,oem,Cross-reference for lambda sensors
LS0002704,Denso,OE0054536,Denso,oem,Original equipment reference
LS0002732,NGK,LS0004988,Delphi,compatible,Cross-reference for lambda sensors
LS0002732,NGK,OE0054537,Original,oem,Original equipment reference
LS0002732,NGK,LS0006559,Bosch,oem,Cross-reference for lambda sensors
LS0002732,NGK,OE0054538,NGK,oem,Original equipment reference
LS0002732,NGK,LS0005430,Delphi,oem,Cross-reference for lambda sensors
LS0002732,NGK,OE0054539,Original,oem,Original equipment reference
LS0002754,Delphi,LS0002832,NGK,equivalent,Cross-reference for lambda sensors
LS0002754,Delphi,OE0054540,Delphi,oem,Original equipment reference
LS0002754,Delphi,LS0006263,Denso,replacement,Cross-reference for lambda sensors
LS0002754,Delphi,OE0054541,Original,oem,Original equipment reference
LS0002754,Delphi,LS0005228,Denso,oem,Cross-reference for lambda sensors
LS0002754,Delphi,OE0054542,Delphi,oem,Original equipment reference
LS0002832,NGK,LS0004175,Bosch,replacement,Cross-reference for lambda sensors
LS0002832,NGK,OE0054543,NGK,oem,Original equipment reference
LS0002832,NGK,LS0010834,Bosch,oem,Cross-reference for lambda sensors
LS0002832,NGK,OE0054544,NGK,oem,Original equipment reference
LS0002901,Denso,LS0003126,Bosch,compatible,Cross-reference for lambda sensors
LS0002901,Denso,OE0054545,Denso,oem,Original equipment reference
LS0002901,Denso,LS0009443,Delphi,compatible,Cross-reference for lambda sensors
LS0002901,Denso,OE0054546,Denso,oem,Original equipment reference
LS0002990,NGK,LS0008807,Bosch,equivalent,Cross-reference for lambda sensors
LS0002990,NGK,OE0054547,NGK,oem,Original equipment reference
LS0002990,NGK,LS0011141,Delphi,equivalent,Cross-reference for lambda sensors
LS0002990,NGK,OE0054548,NGK,oem,Original equipment reference
LS0003055,NGK,LS0004175,Bosch,compatible,Cross-reference for lambda sensors
LS0003055,NGK,OE0054549,NGK,oem,Original equipment reference
LS0003078,Delphi,LS0002229,Denso,oem,Cross-reference for lambda sensors
LS0003078,Delphi,OE0054550,Original,oem,Original equipment reference
LS0003126,Bosch,LS0007330,NGK,oem,Cross-reference for lambda sensors
LS0003126,Bosch,OE0054551,Bosch,oem,Original equipment reference
LS0003318,Delphi,LS0010236,NGK,compatible,Cross-reference for lambda sensors
LS0003318,Delphi,OE0054552,Delphi,oem,Original equipment reference
LS0003405,Bosch,LS0003078,Delphi,replacement,Cross-reference for lambda sensors
LS0003405,Bosch,OE0054553,Original,oem,Original equipment reference
LS0003406,NGK,LS0007104,Delphi,compatible,Cross-reference for lambda sensors
LS0003406,NGK,OE0054554,Original,oem,Original equipment reference
LS0003469,NGK,LS0009486,Delphi,replacement,Cross-reference for lambda sensors
LS0003469,NGK,OE0054555,NGK,oem,Original equipment reference
LS0003469,NGK,LS0007109,Denso,equivalent,Cross-reference for lambda sensors
LS0003469,NGK,OE0054556,Original,oem,Original equipment reference
LS0003514,Bosch,LS0007505,NGK,compatible,Cross-reference for lambda sensors
LS0003514,Bosch,OE0054557,Bosch,oem,Original equipment reference
LS0003565,Delphi,LS0001491,NGK,compatible,Cross-reference for lambda sensors
LS0003565,Delphi,OE0054558,Original,oem,Original equipment reference
LS0003574,Bosch,LS0003565,Delphi,replacement,Cross-reference for lambda sensors
LS0003574,Bosch,OE0054559,Bosch,oem,Original equipment reference
LS0003574,Bosch,LS0010299,Delphi,compatible,Cross-reference for lambda sensors
LS0003574,Bosch,OE0054560,Bosch,oem,Original equipment reference
LS0003707,Denso,LS0011012,NGK,equivalent,Cross-reference for lambda sensors
LS0003707,Denso,OE0054561,Original,oem,Original equipment reference
LS0003708,Bosch,LS0008639,NGK,compatible,Cross-reference for lambda sensors
LS0003708,Bosch,OE0054562,Original,oem,Original equipment reference
LS0003708,Bosch,LS0005863,Delphi,oem,Cross-reference for lambda sensors
LS0003708,Bosch,OE0054563,Original,oem,Original equipment reference
LS0003879,NGK,LS0008941,Bosch,equivalent,Cross-reference for lambda sensors
LS0003879,NGK,OE0054564,NGK,oem,Original equipment reference
LS0003879,NGK,LS0001486,Denso,compatible,Cross-reference for lambda sensors
LS0003879,NGK,OE0054565,NGK,oem,Original equipment reference
LS0004003,Denso,LS0003514,Bosch,oem,Cross-reference for lambda sensors
LS0004003,Denso,OE0054566,Original,oem,Original equipment reference
LS0004040,Denso,LS0009819,NGK,replacement,Cross-reference for lambda sensors
LS0004040,Denso,OE0054567,Denso,oem,Original equipment reference
LS0004040,Denso,LS0010487,Delphi,replacement,Cross-reference for lambda sensors
LS0004040,Denso,OE0054568,Original,oem,Original equipment reference
LS0004040,Denso,LS0007965,NGK,equivalent,Cross-reference for lambda sensors
LS0004040,Denso,OE0054569,Denso,oem,Original equipment reference
LS0004071,NGK,LS0005597,Denso,equivalent,Cross-reference for lambda sensors
LS0004071,NGK,OE0054570,Original,oem,Original equipment reference
LS0004071,NGK,LS0001917,Delphi,oem,Cross-reference for lambda sensors
LS0004071,NGK,OE0054571,Original,oem,Original equipment reference
LS0004134,Delphi,LS0007359,Bosch,replacement,Cross-reference for lambda sensors
LS0004134,Delphi,OE0054572,Original,oem,Original equipment reference
LS0004175,Bosch,LS0005997,Delphi,compatible,Cross-reference for lambda sensors
LS0004175,Bosch,OE0054573,Bosch,oem,Original equipment reference
LS0004175,Bosch,LS0005066,Delphi,compatible,Cross-reference for lambda sensors
LS0004175,Bosch,OE0054574,Original,oem,Original equipment reference
LS0004253,Delphi,LS0007505,NGK,equivalent,Cross-reference for lambda sensors
LS0004253,Delphi,OE0054575,Delphi,oem,Original equipment reference
LS0004253,Delphi,LS0003469,NGK,compatible,Cross-reference for lambda sensors
LS0004253,Delphi,OE0054576,Delphi,oem,Original equipment reference
LS0004253,Delphi,LS0010600,Denso,equivalent,Cross-reference for lambda sensors
LS0004253,Delphi,OE0054577,Delphi,oem,Original equipment reference
LS0004319,NGK,LS0004946,Denso,equivalent,Cross-reference for lambda sensors
LS0004319,NGK,OE0054578,Original,oem,Original equipment reference
LS0004509,Delphi,LS0004040,Denso,oem,Cross-reference for lambda sensors
LS0004509,Delphi,OE0054579,Original,oem,Original equipment reference
LS0004586,NGK,LS0006544,Delphi,replacement,Cross-reference for lambda sensors
LS0004586,NGK,OE0054580,Original,oem,Original equipment reference
LS0004586,NGK,LS0007831,Delphi,oem,Cross-reference for lambda sensors
LS0004586,NGK,OE0054581,NGK,oem,Original equipment reference
LS0004586,NGK,LS0009236,Denso,equivalent,Cross-reference for lambda sensors
LS0004586,NGK,OE0054582,NGK,oem,Original equipment reference
LS0004712,Delphi,LS0003288,NGK,replacement,Cross-reference for lambda sensors
LS0004712,Delphi,OE0054583,Original,oem,Original equipment reference
LS0004824,Bosch,LS0004128,Delphi,equivalent,Cross-reference for lambda sensors
LS0004824,Bosch,OE0054584,Original,oem,Original equipment reference
LS0004824,Bosch,LS0007488,Denso,replacement,Cross-reference for lambda sensors
LS0004824,Bosch,OE0054585,Original,oem,Original equipment reference
LS0004847,NGK,LS0009361,Delphi,replacement,Cross-reference for lambda sensors
LS0004847,NGK,OE0054586,Original,oem,Original equipment reference
LS0004847,NGK,LS0005048,Delphi,replacement,Cross-reference for lambda sensors
LS0004847,NGK,OE0054587,NGK,oem,Original equipment reference
LS0004946,Denso,LS0004712,Delphi,replacement,Cross-reference for lambda sensors
LS0004946,Denso,OE0054588,Original,oem,Original equipment reference
LS0004988,Delphi,LS0004040,Denso,oem,Cross-reference for lambda sensors
LS0004988,Delphi,OE0054589,Delphi,oem,Original equipment reference
LS0005003,NGK,LS0003514,Bosch,compatible,Cross-reference for lambda sensors
LS0005003,NGK,OE0054590,Original,oem,Original equipment reference
LS0005019,Delphi,LS0003405,Bosch,equivalent,Cross-reference for lambda sensors
LS0005019,Delphi,OE0054591,Original,oem,Original equipment reference
LS0005066,Delphi,LS0002826,Denso,oem,Cross-reference for lambda sensors
LS0005066,Delphi,OE0054592,Original,oem,Original equipment reference
LS0005141,Denso,LS0010737,Delphi,equivalent,Cross-reference for lambda sensors
LS0005141,Denso,OE0054593,Denso,oem,Original equipment reference
LS0005226,Denso,LS0011141,Delphi,equivalent,Cross-reference for lambda sensors
LS0005226,Denso,OE0054594,Original,oem,Original equipment reference
LS0005226,Denso,LS0003405,Bosch,equivalent,Cross-reference for lambda sensors
LS0005226,Denso,OE0054595,Original,oem,Original equipment reference
LS0005226,Denso,LS0002732,NGK,compatible,Cross-reference for lambda sensors
LS0005226,Denso,OE0054596,Original,oem,Original equipment reference
LS0005228,Denso,LS0001484,Bosch,equivalent,Cross-reference for lambda sensors
LS0005228,Denso,OE0054597,Denso,oem,Original equipment reference
LS0005228,Denso,LS0007515,Delphi,replacement,Cross-reference for lambda sensors
LS0005228,Denso,OE0054598,Denso,oem,Original equipment reference
LS0005228,Denso,LS0007284,Delphi,replacement,Cross-reference for lambda sensors
LS0005228,Denso,OE0054599,Denso,oem,Original equipment reference
LS0005254,Delphi,LS0001488,Denso,replacement,Cross-reference for lambda sensors
LS0005254,Delphi,OE0054600,Original,oem,Original equipment reference
LS0005254,Delphi,LS0010461,Denso,replacement,Cross-reference for lambda sensors
LS0005254,Delphi,OE0054601,Delphi,oem,Original equipment reference
LS0005367,Denso,LS0009304,NGK,oem,Cross-reference for lambda sensors
LS0005367,Denso,OE0054602,Denso,oem,Original equipment reference
LS0005367,Denso,LS0009486,Delphi,oem,Cross-reference for lambda sensors
LS0005367,Denso,OE0054603,Denso,oem,Original equipment reference
LS0005430,Delphi,LS0004377,Bosch,compatible,Cross-reference for lambda sensors
LS0005430,Delphi,OE0054604,Delphi,oem,Original equipment reference
LS0005504,Delphi,LS0009316,Denso,oem,Cross-reference for lambda sensors
LS0005504,Delphi,OE0054605,Original,oem,Original equipment reference
LS0005504,Delphi,LS0005228,Denso,replacement,Cross-reference for lambda sensors
LS0005504,Delphi,OE0054606,Delphi,oem,Original equipment reference
LS0005616,Denso,LS0004712,Delphi,equivalent,Cross-reference for lambda sensors
LS0005616,Denso,OE0054607,Original,oem,Original equipment reference
LS0005623,NGK,LS0001490,Denso,replacement,Cross-reference for lambda sensors
LS0005623,NGK,OE0054608,NGK,oem,Original equipment reference
LS0005623,NGK,LS0003708,Bosch,replacement,Cross-reference for lambda sensors
LS0005623,NGK,OE0054609,Original,oem,Original equipment reference
LS0005779,NGK,LS0008627,Denso,replacement,Cross-reference for lambda sensors
LS0005779,NGK,OE0054610,Original,oem,Original equipment reference
LS0005898,Bosch,LS0010334,Delphi,replacement,Cross-reference for lambda sensors
LS0005898,Bosch,OE0054611,Original,oem,Original equipment reference
LS0005908,Delphi,LS0001484,Bosch,oem,Cross-reference for lambda sensors
